S.No.,Description,Sub Class,Class,Group,Division,Section
374,"Manufacture of wooden boxes, barrels, vats, tubs, packing cases etc.",16231,1623,162,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
375,Manufacture of plywood chests,16232,1623,162,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
376,"Manufacture of market basketry, grain storage bins and similar products made of bamboo or reed",16233,1623,162,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
377,"Manufacture of other wooden containers and products entirely or mainly of cane, rattan, bamboo, willow, fibre, leaves and grass n.e.c.",16239,1623,162,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
378,Manufacture of wooden industrial goods,16291,1629,162,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
379,Manufacture of cork and cork products,16292,1629,162,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
380,Manufacture of wooden agricultural implements,16293,1629,162,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
381,"Manufacture of various articles made of bamboo, cane and grass",16294,1629,162,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
382,Manufacture of broomsticks,16295,1629,162,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
383,"Manufacture of articles made of palm leaf, dhak leaf, screw-pine leaf and khajoor leaf; articles of vegetables fibre etc,.",16296,1629,162,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
384,Manufacture of products of pith and shalapith,16297,1629,162,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
385,Manufacture of other wood products n.e.c.,16299,1629,162,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
386,Manufacture of pulp,17011,1701,170,Manufacture of paper and paper products,Manufacturing
387,Manufacture of news print,17012,1701,170,Manufacture of paper and paper products,Manufacturing
388,Manufacture of paper and paper rolls not further processed,17013,1701,170,Manufacture of paper and paper products,Manufacturing
389,Manufacture of packing paper,17014,1701,170,Manufacture of paper and paper products,Manufacturing
390,Manufacture of other special purpose paper (excluding computer stationary),17015,1701,170,Manufacture of paper and paper products,Manufacturing
391,"Manufacture of paper board, straw board",17016,1701,170,Manufacture of paper and paper products,Manufacturing
392,Manufacture of hard board including false board and chip board,17017,1701,170,Manufacture of paper and paper products,Manufacturing
393,Manufacture of other primary paper materials including composite paper and paper board n.e.c.,17019,1701,170,Manufacture of paper and paper products,Manufacturing
394,Manufacture of corrugated paper and paperboard,17021,1702,170,Manufacture of paper and paper products,Manufacturing
395,Manufacture of corrugated paper board containers,17022,1702,170,Manufacture of paper and paper products,Manufacturing
396,Manufacture of card board boxes,17023,1702,170,Manufacture of paper and paper products,Manufacturing
397,Manufacture of sacks and bags of paper,17024,1702,170,Manufacture of paper and paper products,Manufacturing
398,Manufacture of other containers of paper and paperboard n.e.c.,17029,1702,170,Manufacture of paper and paper products,Manufacturing
399,Manufacture of computer paper,17091,1709,170,Manufacture of paper and paper products,Manufacturing
400,"Manufacture of paper cups, saucers, plates, hoops, cones and other similar products",17092,1709,170,Manufacture of paper and paper products,Manufacturing
401,"Manufacture of printing, writing and photocopying paper ready for use",17093,1709,170,Manufacture of paper and paper products,Manufacturing
402,Manufacture of paper pulp articles other than containers (such as egg trays),17094,1709,170,Manufacture of paper and paper products,Manufacturing
403,"Manufacture of file cover/file boards, and similar articles.",17095,1709,170,Manufacture of paper and paper products,Manufacturing
404,Manufacture of wall paper,17096,1709,170,Manufacture of paper and paper products,Manufacturing
405,Manufacture of carbon paper & stationary items,17097,1709,170,Manufacture of paper and paper products,Manufacturing
406,Manufacture of other paper products n.e.c.,17099,1709,170,Manufacture of paper and paper products,Manufacturing
407,Printing of newspapers,18111,1811,181,Printing and reproduction of recorded media,Manufacturing
408,"Printing of magazines and other periodicals, books and brochures, maps, atlases, posters etc.",18112,1811,181,Printing and reproduction of recorded media,Manufacturing
409,"Printing of postage stams, taxation stamps, cheques and other security papers",18113,1811,181,Printing and reproduction of recorded media,Manufacturing
410,"Printing of bank notes, currency notes",18114,1811,181,Printing and reproduction of recorded media,Manufacturing
411,"Printing directly onto textiles, flexographic plastic, glass, metal, wood and ceramics",18115,1811,181,Printing and reproduction of recorded media,Manufacturing
412,Other printing activities like screen printing other than textile n.e.c.,18119,1811,181,Printing and reproduction of recorded media,Manufacturing
413,Book and other similar sheet binding on account of others,18121,1812,181,Printing and reproduction of recorded media,Manufacturing
414,"Engraving, etching and block making etc.",18122,1812,181,Printing and reproduction of recorded media,Manufacturing
415,Other service activities related to printing n.e.c.,18129,1812,181,Printing and reproduction of recorded media,Manufacturing
416,Reproduction of recorded media,18200,1820,182,Printing and reproduction of recorded media,Manufacturing
417,Production of coke and semi-coke products,19101,1910,191,Manufacture of coke and refined petroleum products,Manufacturing
418,"Manufacture of other coke oven products such as gas, crude coal and lignite tars etc.",19109,1910,191,Manufacture of coke and refined petroleum products,Manufacturing
419,"Production of liquid and gaseous fuels, illuminating oils, lubricating oils or greases or other products from crude petroleum or bituminous minerals",19201,1920,192,Manufacture of coke and refined petroleum products,Manufacturing
420,Manufacture of paraffin wax,19202,1920,192,Manufacture of coke and refined petroleum products,Manufacturing
421,Bottling of LPG/CNG,19203,1920,192,Manufacture of coke and refined petroleum products,Manufacturing
422,Manufacture of hard-coal and lignite fuel briquettes,19204,1920,192,Manufacture of coke and refined petroleum products,Manufacturing
423,"Manufacture of other petroleum n.e.c. (includes manufacture of petroleum jelly, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, petroleum coke, petroleum bitumen and other residues of petroleum oils)",19209,1920,192,Manufacture of coke and refined petroleum products,Manufacturing
424,"Manufacture of liquefied or compressed inorganic industrial or medical gases (elemental gases, liquid or compressed air, refrigerant gases, mixed industrial gases etc.)",20111,2011,201,Manufacture of chemicals and chemical products,Manufacturing
425,Manufacture of inorganic acids except nitric acid,20112,2011,201,Manufacture of chemicals and chemical products,Manufacturing
426,Manufacture of tanning or dying extracts; tannings and their derivatives and colouring matter (including manufacture of indigo),20113,2011,201,Manufacture of chemicals and chemical products,Manufacturing
427,Manufacture of dyes and pigments from any source in basic form or as concentrate,20114,2011,201,Manufacture of chemicals and chemical products,Manufacturing
428,Manufacture of turpentine and resins of vegetable origin,20115,2011,201,Manufacture of chemicals and chemical products,Manufacturing
429,Manufacture of basic chemical elements,20116,2011,201,Manufacture of chemicals and chemical products,Manufacturing
430,Manufacture of distilled water,20117,2011,201,Manufacture of chemicals and chemical products,Manufacturing
431,Manufacture of synthetic aromatic products,20118,2011,201,Manufacture of chemicals and chemical products,Manufacturing
432,Manufacture of organic and inorganic chemical compounds n.e.c.,20119,2011,201,Manufacture of chemicals and chemical products,Manufacturing
433,Manufacture of urea and other organic fertilizers,20121,2012,201,Manufacture of chemicals and chemical products,Manufacturing
434,"Manufacture of straight mixed, compound or complex inorganic fertilizers",20122,2012,201,Manufacture of chemicals and chemical products,Manufacturing
435,"Manufacture of associated nitrogen products (nitric and sulphonitric acids, ammonia, ammonium chloride, ammonium carbonate, nitrites and nitrates of potassium)",20123,2012,201,Manufacture of chemicals and chemical products,Manufacturing
436,Manufacture of other fertilizers n.e.c.,20129,2012,201,Manufacture of chemicals and chemical products,Manufacturing
437,"Manufacture of plastic in primary forms (includes amino-resins, polyurethanes etc.)",20131,2013,201,Manufacture of chemicals and chemical products,Manufacturing
438,Manufacture of synthetic rubber in primary forms,20132,2013,201,Manufacture of chemicals and chemical products,Manufacturing
439,Manufacture of mixture of synthetic and natural or rubber like gums,20133,2013,201,Manufacture of chemicals and chemical products,Manufacturing
440,"Manufacture of synthetic or artificial filament yarn, tenacity yarn whether or not textured including high tenacity yarn",20203,2020,202,Manufacture of chemicals and chemical products,Manufacturing
441,"Manufacture of insecticides, rodenticides, fungicides, herbicides",20211,2021,202,Manufacture of chemicals and chemical products,Manufacturing
442,Manufacture of disinfectants (for agricultural and other use),20212,2021,202,Manufacture of chemicals and chemical products,Manufacturing
443,"Manufacture of anti-sprouting products, plant growth regulators",20213,2021,202,Manufacture of chemicals and chemical products,Manufacturing
444,Manufacture of other agrochemical products n.e.c.,20219,2021,202,Manufacture of chemicals and chemical products,Manufacturing
445,"Manufacture of paints and varnishes, enamels or lacquers",20221,2022,202,Manufacture of chemicals and chemical products,Manufacturing
446,"Manufacture of prepared pigments, prepared opacifiers and prepared colours, vitrifiable enamels and glazes engobes and similar preparations of a kind used in the ceramic, enamelling or glass industry",20222,2022,202,Manufacture of chemicals and chemical products,Manufacturing
447,Manufacture of printing ink,20223,2022,202,Manufacture of chemicals and chemical products,Manufacturing
448,Manufacture of prepared pigments and other colouring matter of a kind used in the manufacture of paints or by artists or other painters,20224,2022,202,Manufacture of chemicals and chemical products,Manufacturing
449,"Manufacture of caulking compounds and similar non-refractory filling or surfacing preparations, mastics, prepared paint or varnish removers, organic composite solvents and thinners and other related products n.e.c.",20229,2022,202,Manufacture of chemicals and chemical products,Manufacturing
450,Manufacture of soap all forms,20231,2023,202,Manufacture of chemicals and chemical products,Manufacturing
451,"Manufacture of cleaning and polishing products (preparations for perfuming or deodorizing rooms; artificial waxes and prepared waxes; polishes and creams for leather, wood, glass, metal etc.; scouring pastes and powders, including paper, wadding etc.)",20232,2023,202,Manufacture of chemicals and chemical products,Manufacturing
452,Manufacture of detergent and similar washing agents excluding soap,20233,2023,202,Manufacture of chemicals and chemical products,Manufacturing
453,Manufacture of perfumes and cologne de-eau,20234,2023,202,Manufacture of chemicals and chemical products,Manufacturing
454,"Manufacture of preparations for oral or dental hygiene (includes manufacture of toothpastes, toothpowder, mouthwash, oral, perfumes, dental fixative pastes and powders etc.)",20235,2023,202,Manufacture of chemicals and chemical products,Manufacturing
455,"Manufacture of hair oil, shampoo, hair dye etc. (includes manufacture of shampoos, hair sprays, hair fixers, hair oils, hair creams, hair dyes and bleaches and preparations for permanent waving or straightening of the hair etc.)",20236,2023,202,Manufacture of chemicals and chemical products,Manufacturing
456,"Manufacture of cosmetics and toileteries (includes manufacture of pre- shave, shaving or after shave preparations; personal deodorants and anti- respirants; perfumed bath salts and other bath preparations; beauty )",20237,2023,202,Manufacture of chemicals and chemical products,Manufacturing
457,Manufacture of â€œagarbattiâ€ and other preparations which operate by burning,20238,2023,202,Manufacture of chemicals and chemical products,Manufacturing
458,Manufacture of other perfumes and toilet preparations n.e.c.,20239,2023,202,Manufacture of chemicals and chemical products,Manufacturing
459,Manufacture of matches,20291,2029,202,Manufacture of chemicals and chemical products,Manufacturing
460,"Manufacture of explosives, ammunition and fire works",20292,2029,202,Manufacture of chemicals and chemical products,Manufacturing
461,"Manufacture of essential oils; modification by chemical processes of oils and fats (e.g. by oxidation, polymerization etc.)",20293,2029,202,Manufacture of chemicals and chemical products,Manufacturing
462,"Manufacture of photographic plates, films, sensitized paper and other sensitized unexposed materials,chemical preparations for photographic uses",20294,2029,202,Manufacture of chemicals and chemical products,Manufacturing
463,"Manufacture of gelatine and its derivatives, resinoids, glues, prepared adhesives, including rubber-based glues and adhesives",20295,2029,202,Manufacture of chemicals and chemical products,Manufacturing
464,Manufacture of chemical elements and compounds doped for use in electronics,20296,2029,202,Manufacture of chemicals and chemical products,Manufacturing
465,"Manufacture of chemical products or preparations of a kind used in the textiles, paper, leather and like industries",20297,2029,202,Manufacture of chemicals and chemical products,Manufacturing
466,"Manufacture of various other chemical products n.e.c.(antiknock preparations, anti-freeze preparations, liquids for hydraulic transmission, composite diagnostic or laboratory reagents, writing or drawing ink)",20299,2029,202,Manufacture of chemicals and chemical products,Manufacturing
467,Manufacture of synthetic or artificial filament tow,20301,2030,203,Manufacture of chemicals and chemical products,Manufacturing
468,Manufacture of synthetic or artificial filament staple fibre not textured,20302,2030,203,Manufacture of chemicals and chemical products,Manufacturing
469,Manufacture of synthetic or artificial mono-filament or strip,20304,2030,203,Manufacture of chemicals and chemical products,Manufacturing
470,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic acid, its salts and esters; glycosides and vegetable alkaloids;",21001,2100,210,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Manufacturing
471,Manufacture of allopathic pharmaceutical preparations,21002,2100,210,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Manufacturing
472,Manufacture of `ayurvedicâ€™ or `unaniâ€™ pharmaceutical preparation,21003,2100,210,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Manufacturing
473,Manufacture of homoeopathic or biochemic pharmaceutical preparations,21004,2100,210,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Manufacturing
474,Manufacture of veterinary preparations,21005,2100,210,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Manufacturing
475,"Manufacture of medical impregnated wadding, gauze, bandages, dressings, surgical gut string etc.",21006,2100,210,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Manufacturing
476,Manufacture of other pharmaceutical and botanical products n.e.c. like hina powder etc.,21009,2100,210,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Manufacturing
477,"Manufacture of rubber tyres and tubes for motor vehicles, motorcycles, scooters, three-wheelers, tractors and aircraft",22111,2211,221,Manufacture of rubber and plastics products,Manufacturing
478,Manufacture of rubber tyres and tubes for cycles and cycle-rickshaws,22112,2211,221,Manufacture of rubber and plastics products,Manufacturing
479,Retreading of tyres; replacing or rebuilding of tread on used pneumatic tyres,22113,2211,221,Manufacture of rubber and plastics products,Manufacturing
480,Manufacture of rubber tyres and tubes n.e.c.,22119,2211,221,Manufacture of rubber and plastics products,Manufacturing
481,"Manufacture of rubber plates, sheets, strips, rods, tubes, pipes, hoses and profile -shapes etc.",22191,2219,221,Manufacture of rubber and plastics products,Manufacturing
482,Manufacture of rubber conveyor or transmission belts or belting,22192,2219,221,Manufacture of rubber and plastics products,Manufacturing
483,Manufacture of rubber contraceptives,22193,2219,221,Manufacture of rubber and plastics products,Manufacturing
484,Manufacture of rubber balloons,22194,2219,221,Manufacture of rubber and plastics products,Manufacturing
485,Manufacture of other rubber products n.e.c.,22199,2219,221,Manufacture of rubber and plastics products,Manufacturing
486,"Manufacture of semi-finished of plastic products (plastic plates, sheets, blocks, film, foil, strip etc.)",22201,2220,222,Manufacture of rubber and plastics products,Manufacturing
487,"Manufacture of tableware, kitchenware and other household articles and toilet articles of plastic, including manufacture of vacuum flasks and other vacuum vessels",22202,2220,222,Manufacture of rubber and plastics products,Manufacturing
488,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc.)",22203,2220,222,Manufacture of rubber and plastics products,Manufacturing
489,"Manufacture of bathing tubs, wash-basins, lavatory pans and covers, flushing cisterns and similar sanitary-ware of plastics",22204,2220,222,Manufacture of rubber and plastics products,Manufacturing
490,"Manufacture of travel goods of plastics (suitcase, vanity bags, holdalls and similar articles)",22205,2220,222,Manufacture of rubber and plastics products,Manufacturing
491,Manufacture of spectacle frames of plastic,22206,2220,222,Manufacture of rubber and plastics products,Manufacturing
492,Manufacture of moulded industrial accessories of plastics [including electrical insulating fittings of plastics],22207,2220,222,Manufacture of rubber and plastics products,Manufacturing
493,Manufacture of polymer/ synthetic / PVC water storage tanks,22208,2220,222,Manufacture of rubber and plastics products,Manufacturing
494,Manufacture of other plastics products n.e.c.,22209,2220,222,Manufacture of rubber and plastics products,Manufacturing
495,"Manufacture of glass in primary or semi-manufactured forms (such as sheets & plate glass) including mirror sheets and wired, coloured, tinted, toughened or laminated glass",23101,2310,231,Manufacture of other non-metallic mineral products,Manufacturing
496,"Manufacture of glass fibre (including glass-wool) and yarn of glass fibre; nonwoven glass fabrics, mats, boards and similar non-woven products",23102,2310,231,Manufacture of other non-metallic mineral products,Manufacturing
497,"Manufacture of hollow glassware (bottles, jars etc.) for the conveyance or packing of goods",23103,2310,231,Manufacture of other non-metallic mineral products,Manufacturing
498,Manufacture of laboratory or pharmaceutical glassware,23104,2310,231,Manufacture of other non-metallic mineral products,Manufacturing
499,Manufacture of table or kitchen glassware,23105,2310,231,Manufacture of other non-metallic mineral products,Manufacturing
500,Manufacture of glass bangles,23106,2310,231,Manufacture of other non-metallic mineral products,Manufacturing
501,Manufacture of glass decoration pieces and glassware used in imitation jewellery,23107,2310,231,Manufacture of other non-metallic mineral products,Manufacturing
502,"Manufacture of other glassware/glass products: articles of glass used in construction such as glass blocks; clock or watch glasses, optical glass and optical glass elements not optically worked; and other glass products (including glass beads) n.e.c.",23109,2310,231,Manufacture of other non-metallic mineral products,Manufacturing
503,"Manufacture of refractory mortars, concretes etc.",23911,2391,239,Manufacture of other non-metallic mineral products,Manufacturing
504,"Manufacture of refractory bricks, blocks tiles and similar refractory ceramic constructional goods",23912,2391,239,Manufacture of other non-metallic mineral products,Manufacturing
505,Manufacture of refractory ceramic products,23913,2391,239,Manufacture of other non-metallic mineral products,Manufacturing
506,Manufacture of other refractory articles n.e.c.,23919,2391,239,Manufacture of other non-metallic mineral products,Manufacturing
507,Manufacture of bricks,23921,2392,239,Manufacture of other non-metallic mineral products,Manufacturing
508,"Manufacture of non-refractory ceramic sanitary wares: sinks, baths, water- closet pans, flushing cistern etc.",23922,2392,239,Manufacture of other non-metallic mineral products,Manufacturing
509,"Manufacture of non-refractory ceramic pipes, conduits, guttering and pipe fittings",23923,2392,239,Manufacture of other non-metallic mineral products,Manufacturing
510,Manufacture of other clay building materials,23929,2392,239,Manufacture of other non-metallic mineral products,Manufacturing
511,"Manufacture of articles of porcelain or china, earthenware, imitation porcelain or common pottery, including earthen statues",23931,2393,239,Manufacture of other non-metallic mineral products,Manufacturing
512,Manufacture of ceramic tableware and other domestic or toilet articles,23932,2393,239,Manufacture of other non-metallic mineral products,Manufacturing
513,Manufacture of statuettes and other ornamental ceramic articles,23933,2393,239,Manufacture of other non-metallic mineral products,Manufacturing
514,Manufacture of electrical insulators and insulating fittings of ceramics,23934,2393,239,Manufacture of other non-metallic mineral products,Manufacturing
515,"Manufacture of ceramic laboratory, chemical and industrial products",23935,2393,239,Manufacture of other non-metallic mineral products,Manufacturing
516,Manufacture of ceramic products n.e.c.,23939,2393,239,Manufacture of other non-metallic mineral products,Manufacturing
517,Manufacture of clinkers and cement,23941,2394,239,Manufacture of other non-metallic mineral products,Manufacturing
518,"Manufacture of portland cement, aluminous cement, slag cement and similar hydraulic cement",23942,2394,239,Manufacture of other non-metallic mineral products,Manufacturing
519,Manufacture of asbestos cement,23943,2394,239,Manufacture of other non-metallic mineral products,Manufacturing
520,"Manufacture of quicklime, slaked lime and hydraulic lime (excluding chewing lime)",23944,2394,239,Manufacture of other non-metallic mineral products,Manufacturing
521,Manufacture of plasters of calcined gypsum or calcined sulphate,23945,2394,239,Manufacture of other non-metallic mineral products,Manufacturing
522,Manufacture of other cement and plaster n.e.c.,23949,2394,239,Manufacture of other non-metallic mineral products,Manufacturing
523,Manufacture of plaster statues and other plaster products,23951,2395,239,Manufacture of other non-metallic mineral products,Manufacturing
524,"Manufacture of articles articles of concrete, cement or artificial stone (tiles, bricks etc.)",23952,2395,239,Manufacture of other non-metallic mineral products,Manufacturing
525,Manufacture of asbestos sheets,23953,2395,239,Manufacture of other non-metallic mineral products,Manufacturing
526,Manufacture of R.C.C. bricks and blocks,23954,2395,239,Manufacture of other non-metallic mineral products,Manufacturing
527,Manufacture of hume pipes and other pre-fabricated structural components of cement and/or concrete for building or civil engineering,23955,2395,239,Manufacture of other non-metallic mineral products,Manufacturing
528,"Manufacture of insulation boards of vegetable fibre, straw or wood waste, agglomerated with cement & other mineral binders.",23956,2395,239,Manufacture of other non-metallic mineral products,Manufacturing
529,Manufacture of other cement and asbestos cement products n.e.c.,23959,2395,239,Manufacture of other non-metallic mineral products,Manufacturing
530,"Cutting, shaping and finishing of stone",23960,2396,239,Manufacture of other non-metallic mineral products,Manufacturing
531,Manufacture of worked mica and mica products,23991,2399,239,Manufacture of other non-metallic mineral products,Manufacturing
532,Manufacture of gypsum boards,23992,2399,239,Manufacture of other non-metallic mineral products,Manufacturing
533,"Manufacture of millstones, sharpening or polishing stones and natural or artificial abrasive products, including abrasive powder or grain on a base of textile material, paper, paper board or other material",23993,2399,239,Manufacture of other non-metallic mineral products,Manufacturing
534,Manufacture of graphite products other than electrical articles,23994,2399,239,Manufacture of other non-metallic mineral products,Manufacturing
535,Manufacture of other non-metallic mineral products n.e.c.,23999,2399,239,Manufacture of other non-metallic mineral products,Manufacturing
536,"Manufacture of pig iron and spiegeleisen in pigs, blocks or other primary forms",24101,2410,241,Manufacture of basic metals,Manufacturing
537,Manufacture of direct reduction of iron (sponge iron) and other spongy ferrous products,24102,2410,241,Manufacture of basic metals,Manufacturing
538,"Manufacture of steel in ingots or other primary forms, and other semi- finished products of steel",24103,2410,241,Manufacture of basic metals,Manufacturing
539,Manufacture of ferro-alloys,24104,2410,241,Manufacture of basic metals,Manufacturing
540,Manufacture of hot-rolled and cold-rolled products of steel,24105,2410,241,Manufacture of basic metals,Manufacturing
541,Manufacture of tube and tube fittings of basic iron and steel,24106,2410,241,Manufacture of basic metals,Manufacturing
542,Manufacture of railway track materials (unassembled rails) of steel,24107,2410,241,Manufacture of basic metals,Manufacturing
543,Manufacture of wire of steel by cold drawing or stretching,24108,2410,241,Manufacture of basic metals,Manufacturing
544,Manufacture of other basic iron and steel n.e.c,24109,2410,241,Manufacture of basic metals,Manufacturing
545,"Manufacture of Copper from ore, and other copper products and alloys",24201,2420,242,Manufacture of basic metals,Manufacturing
546,Manufacture of Aluminium from alumina and by other methods and products of aluminium and alloys,24202,2420,242,Manufacture of basic metals,Manufacturing
547,"Manufacturing of lead, zinc and tin products and alloys",24203,2420,242,Manufacture of basic metals,Manufacturing
548,"Manufacturing of chrome, manganese and nickel products alloys",24204,2420,242,Manufacture of basic metals,Manufacturing
549,"Production and refining of precious metals (such as gold, silver platinum etc.) and alloys",24205,2420,242,Manufacture of basic metals,Manufacturing
550,Manufacture of other non-ferrous metals n.e.c.,24209,2420,242,Manufacture of basic metals,Manufacturing
551,"Manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings of cast-iron/cast-steel",24311,2431,243,Manufacture of basic metals,Manufacturing
552,Manufacture of other iron and steel casting and products thereof,24319,2431,243,Manufacture of basic metals,Manufacturing
553,Casting of non-ferrous metals,24320,2432,243,Manufacture of basic metals,Manufacturing
554,"Manufacture of doors, windows and their frames, shutters and rolling shutters, gates and similer articles used on buildings",25111,2511,251,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
555,"Manufacture of metal frameworks or skeletons for construction and parts thereof ((towers, masts, trusses, bridges etc.)",25112,2511,251,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
556,"Manufacture of industrial frameworks in metal (frameworks for blast furnaces, lifting and handling equipment etc.)",25113,2511,251,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
557,Manufacture of other structural metal products,25119,2511,251,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
558,Manufacture of metal containers for compressed or liquefied gas,25121,2512,251,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
559,"Manufacture of metal reservoirs, tanks and similar containers",25122,2512,251,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
560,Manufacture of central heating boilers and radiators and parts and accessories thereof,25123,2512,251,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
561,Manufacture of other containers n.e.c.,25129,2512,251,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
562,Manufacture of steam or other vapour generating boilers and hot water boilers other than central heating boilers,25131,2513,251,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
563,"Manufacture of nuclear reactors, except isotope separators",25132,2513,251,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
564,"Manufacture of auxiliary plant for use with steam generators (condensers, economizers, superheaters, steam collectors and accumulators)",25133,2513,251,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
565,"Manufacture of other steam generators (except central heating hot water boilers), n.e.c.",25139,2513,251,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
566,Manufacture of weapons and ammunition,25200,2520,252,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
567,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",25910,2591,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
568,Machining; treatment and coating of metals,25920,2592,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
569,"Manufacture of cutlery such as knives, forks, spoons, cleavers, choppers, razors, razor blades, scissors, hair clippers etc.",25931,2593,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
570,Manufacture of hand tools (non-power-driven) for agricultural/horticulture/ forestry,25932,2593,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
571,"Manufacture of hand tools such as pliers, screwdrivers, press tools, blacksmithsâ€™ tools, drills, punches, milling cutters etc.",25933,2593,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
572,"Manufacture of padlocks, locks, keys, hinges and the like, hardware for buildings, furniture, vehicles etc.",25934,2593,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
573,"Manufacture of general hardware (saws and sawblades, including circular sawblades and chainsaw blades, moulding boxes, vices, clamps etc.)",25939,2593,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
574,"Manufacture of metal fasteners (nails, rivets, tacks, pins, staples, washers and similar non-threaded products and nuts, bolts, screws and other threaded products)",25991,2599,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
575,Manufacture of containers such as tins and cans for food products and boxes,25992,2599,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
576,Manufacture of metal cable and other articles made of wire (except for electric transmission),25993,2599,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
577,"Manufacture of metal household articles (plates, saucers, pots, kettles, saucepans, frying pans and other non-electrical utensils, small hand-operated kitchen appliances and accessories)",25994,2599,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
578,"Manufacture of metal sanitaryware such as baths, sinks, washbasins and similar articles",25995,2599,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
579,"Manufacture of reinforced safes, vaults, strongroom doors, gates and metal goods for office use (other than office furniture) and other purposes",25996,2599,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
580,Manufacture of other fabricated metal products n.e.c.,25999,2599,259,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
581,"Manufacture of electronic capacitors, resistors, chokes, coils, trasformers (electronic) and similar components",26101,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
582,"Manufacture of electron tubes, diodes, transistors and related discrete devices",26102,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
583,"Manufacture of integrated circuits (analog, digital or hybrid)",26103,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
584,"Manufacture of bare printed circuit boards, loading of components onto printed circuit boards; manufacture of interface cards (e.g. sound, video, controllers, network, modems)",26104,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
585,"Manufacture of display components (plasma, polymer, LCD, LED)",26105,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
586,"Manufacture of printer cables, monitor cables, USB cables, connectors etc.",26106,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
587,Manufacture of microprocessors,26107,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
